x_pos, y_pos, orientation, steering_angle, speed
18.9336, 11.7383, 0.28107, -0.0153466, 2.71986
19.2951, 11.7125, 0.244188, -0.0179014, 2.77534
19.6385, 11.6866, 0.210559, -0.0205494, 2.81912
20.0179, 11.684, 0.178546, -0.0249238, 2.85811
20.3953, 11.6534, 0.142342, -0.0287567, 2.88915
20.8088, 11.6091, 0.108861, -0.0316853, 2.90661
21.216, 11.5456, 0.0735178, -0.0347198, 2.91064
21.6257, 11.5085, 0.0440332, -0.0367883, 2.92538
22.053, 11.4249, 0.0107049, -0.0358019, 2.95839
22.4751, 11.3314, -0.020759, -0.0338549, 2.96916
22.9072, 11.2322, -0.0522268, -0.0350522, 2.98436
23.3094, 11.0872, -0.0884876, -0.0320513, 3.00674
23.7231, 10.9384, -0.121422, -0.0308649, 3.03986
24.132, 10.7884, -0.149356, -0.0271875, 3.04783
24.5401, 10.6351, -0.173784, -0.0216803, 3.05251
24.9607, 10.4627, -0.196196, -0.0160555, 3.06119
25.3691, 10.2944, -0.213219, -0.00692767, 3.10089
25.7614, 10.1035, -0.230825, -0.000336883, 3.14535
26.1557, 9.9019, -0.242434, 0.00772167, 3.19248
26.5818, 9.69251, -0.245072, 0.0164325, 3.24478
27.0096, 9.4991, -0.24082, 0.0260463, 3.28427
27.4349, 9.30326, -0.234735, 0.0329704, 3.32006
27.8883, 9.10621, -0.22435, 0.0407407, 3.35357
28.3334, 8.89636, -0.211824, 0.0506123, 3.37436
28.7778, 8.6918, -0.195409, 0.0575495, 3.42539
29.2241, 8.50888, -0.174655, 0.0642674, 3.45273
29.6684, 8.31891, -0.154004, 0.0716384, 3.50383
30.1043, 8.14192, -0.132841, 0.0798317, 3.54174
30.5258, 7.97647, -0.106922, 0.0882907, 3.6029
30.9709, 7.84322, -0.0709405, 0.0992692, 3.64041
31.4164, 7.73743, -0.0289574, 0.10528, 3.66588
31.8636, 7.64377, 0.0167411, 0.109674, 3.71854
32.3257, 7.59525, 0.0683121, 0.115828, 3.77301
32.7801, 7.57256, 0.125185, 0.122428, 3.80995
33.2171, 7.56529, 0.185211, 0.132887, 3.83265
33.6315, 7.58555, 0.257218, 0.144858, 3.8548
34.0113, 7.63169, 0.336984, 0.154932, 3.87848
34.3793, 7.73799, 0.429065, 0.167533, 3.92204
34.7181, 7.88839, 0.534875, 0.176507, 3.95354
