x_pos, y_pos, orientation, steering_angle, speed
-38.0827, -20.808, -0.524919, 0.0406334, 7.9246
-37.3618, -21.2178, -0.494458, 0.040686, 7.94268
-36.6213, -21.5978, -0.463772, 0.0383943, 7.95916
-35.8673, -21.9509, -0.437842, 0.0330099, 7.98238
-35.1162, -22.2637, -0.408247, 0.0287952, 7.99213
-34.3413, -22.5517, -0.377073, 0.0267207, 8.02131
-33.5535, -22.8351, -0.352667, 0.0253284, 8.05703
-32.7608, -23.1058, -0.335642, 0.020758, 8.08755
-31.96, -23.3608, -0.319631, 0.0171842, 8.12086
-31.1617, -23.616, -0.306725, 0.0164209, 8.12649
-30.3386, -23.8507, -0.290885, 0.0156427, 8.15088
-29.5137, -24.0704, -0.278745, 0.012204, 8.15696
-28.6722, -24.2948, -0.269657, 0.0117071, 8.18868
-27.8476, -24.5131, -0.259139, 0.0122022, 8.20545
-27.0015, -24.7327, -0.249071, 0.013985, 8.22528
-26.1546, -24.9202, -0.231273, 0.0152119, 8.25579
-25.3058, -25.0913, -0.213073, 0.0157445, 8.28274
-24.4592, -25.2503, -0.197953, 0.013737, 8.31292
-23.5965, -25.4077, -0.190776, 0.0104736, 8.34002
-22.7455, -25.5764, -0.18508, 0.0111483, 8.34257
-21.8864, -25.7207, -0.174131, 0.0112387, 8.34834
-21.0188, -25.8535, -0.162785, 0.0110374, 8.35776
-20.1487, -25.9895, -0.156899, 0.0099801, 8.36975
-19.2873, -26.0981, -0.143788, 0.00938111, 8.3882
-18.4245, -26.2133, -0.132635, 0.0109478, 8.39062
-17.5519, -26.3021, -0.12217, 0.00860511, 8.41278
-16.6697, -26.4001, -0.109203, 0.0128812, 8.42594
-15.7772, -26.4868, -0.0944369, 0.0159143, 8.45322
-14.8851, -26.5701, -0.0818219, 0.0173475, 8.47702
-13.9826, -26.6224, -0.0636708, 0.0185249, 8.49145
-13.0917, -26.6493, -0.0497383, 0.0139293, 8.515
-12.1953, -26.6847, -0.0386811, 0.013583, 8.52349
-11.311, -26.69, -0.018004, 0.0156898, 8.53829
-10.4145, -26.6937, -0.0061183, 0.0139888, 8.56826
-9.4981, -26.682, 0.00424248, 0.0129699, 8.58303
-8.60833, -26.6692, 0.0124547, 0.0111795, 8.59195
-7.69083, -26.6443, 0.0151491, 0.00758296, 8.60886
-6.78652, -26.6193, 0.0217152, 0.00757506, 8.6311
-5.86011, -26.5977, 0.0233777, 0.00726988, 8.65477
-4.95723, -26.566, 0.0372858, 0.0118367, 8.67018
-4.02631, -26.5256, 0.0487591, 0.0143075, 8.70058
-3.12309, -26.451, 0.0683103, 0.0156199, 8.71736
-2.21807, -26.3734, 0.0834944, 0.0153239, 8.7473
-1.30301, -26.2807, 0.0972925, 0.0146245, 8.77931
-0.381851, -26.1715, 0.106077, 0.0111682, 8.79536
0.544394, -26.0611, 0.118694, 0.0133264, 8.82656
1.47333, -25.9371, 0.135949, 0.0169429, 8.85548
2.40517, -25.786, 0.155516, 0.018357, 8.88979
3.31896, -25.6296, 0.175699, 0.0202458, 8.89623
4.25315, -25.4457, 0.198819, 0.0234049, 8.91102
5.16649, -25.2528, 0.221907, 0.0247326, 8.94448
6.07585, -25.0327, 0.247356, 0.0265141, 8.94987
7.00402, -24.7968, 0.269434, 0.0277109, 8.95994
7.90868, -24.539, 0.300735, 0.0324917, 8.965
8.81736, -24.2425, 0.328615, 0.032299, 8.9832
9.70417, -23.9138, 0.36353, 0.0343478, 9.00459
10.5784, -23.5797, 0.391987, 0.0340067, 9.00953
11.4696, -23.2056, 0.4208, 0.0350684, 9.03383
12.3532, -22.8145, 0.445275, 0.0345184, 9.04734
13.2123, -22.3957, 0.481835, 0.0384793, 9.08048
14.0535, -21.945, 0.511424, 0.0355522, 9.10442
14.9119, -21.4668, 0.539048, 0.0365013, 9.13244
15.7493, -20.9788, 0.565201, 0.0365314, 9.1465
16.5692, -20.4664, 0.593612, 0.0365306, 9.17916
17.3707, -19.9229, 0.62629, 0.0378424, 9.20506
18.1595, -19.3572, 0.662044, 0.041621, 9.21664
18.9339, -18.7699, 0.691281, 0.0405622, 9.23354
19.6965, -18.1397, 0.729179, 0.0440893, 9.26693
20.4405, -17.4956, 0.76094, 0.0437548, 9.29463
21.1477, -16.8072, 0.802495, 0.0458001, 9.31749
21.8619, -16.1024, 0.834793, 0.0469897, 9.34232
22.5187, -15.3835, 0.875016, 0.0475276, 9.35185
23.1676, -14.6357, 0.916801, 0.0518473, 9.3609
23.7796, -13.8461, 0.960103, 0.0529363, 9.38324
24.3509, -13.0284, 1.01017, 0.0563527, 9.38706
24.8687, -12.1847, 1.06829, 0.0600415, 9.41802
25.3407, -11.3056, 1.12481, 0.0612331, 9.45014
25.7973, -10.3992, 1.17463, 0.0631824, 9.47748
26.203, -9.48063, 1.23029, 0.0670213, 9.47967
26.5584, -8.54352, 1.28795, 0.0699452, 9.50536
26.8554, -7.57823, 1.34106, 0.0675337, 9.5283
27.0853, -6.59446, 1.40514, 0.0704749, 9.55037
27.2561, -5.60954, 1.47369, 0.0749696, 9.55599
27.3588, -4.62418, 1.54757, 0.0793394, 9.57019
27.3914, -3.61677, 1.61573, 0.0793048, 9.5767
27.3514, -2.61667, 1.69261, 0.0828703, 9.6
27.2571, -1.61083, 1.75843, 0.0824165, 9.62146
27.093, -0.609454, 1.82778, 0.0839705, 9.62896
26.8614, 0.363199, 1.89848, 0.0839751, 9.6472
26.5339, 1.30701, 1.98544, 0.0881236, 9.67903
26.1088, 2.22109, 2.07429, 0.088846, 9.70201
25.631, 3.11259, 2.14662, 0.0852053, 9.71911
25.0755, 3.95544, 2.22303, 0.0824455, 9.74251
24.4655, 4.76871, 2.28853, 0.0776036, 9.7644
23.8188, 5.5887, 2.34009, 0.0760376, 9.79595
23.1435, 6.35742, 2.39887, 0.0779173, 9.81977
22.3969, 7.03859, 2.47233, 0.0777469, 9.8307
21.6105, 7.66773, 2.55361, 0.0834811, 9.85189
20.7734, 8.2507, 2.62358, 0.0820325, 9.87476
19.8899, 8.75254, 2.70175, 0.0822763, 9.88575
18.9599, 9.2058, 2.77127, 0.0802077, 9.91147
17.9994, 9.61997, 2.83661, 0.0812865, 9.94648
17.0253, 9.96804, 2.89816, 0.0793459, 9.96245
16.0345, 10.21, 2.98718, 0.086347, 9.99387
15.03, 10.3186, 3.09327, 0.0910805, 10.0159
14.0067, 10.3231, -3.08133, 0.0951362, 10.0468
15.3443, 10.5011, -1.29264, -1.32493, 10.0676
15.1203, 10.0708, 1.79244, -1.63438, 10.4124
15.608, 10.2597, -2.74658, -1.14267, 10.7557
15.7803, 9.47094, -2.72976, -0.818083, 10.892
14.9163, 8.85807, -3.12672, -0.579496, 11.0745
13.8426, 9.59488, 2.13018, -0.597935, 11.1671
15.151, 9.28796, -2.24545, -1.12197, 11.2061
14.5237, 9.6412, 1.01106, -1.14951, 11.2646
14.0921, 10.2031, 0.859381, -0.879962, 11.2865
15.224, 9.85405, -1.41231, -0.975265, 11.2956
14.228, 9.47743, 2.1354, -1.06324, 11.3138
14.422, 10.3332, 0.300313, -1.02673, 11.347
15.1902, 9.8377, -1.75219, -1.01728, 11.356
14.3202, 9.4662, 2.34623, -1.02661, 11.3711
14.2353, 10.3265, 0.724927, -0.982696, 11.3826
15.1778, 9.93544, -1.6428, -1.02693, 11.3947
14.5144, 9.3314, 2.75872, -0.999377, 11.3982
14.0716, 10.0937, 1.18841, -0.961014, 11.4091
13.5729, 11.1175, 1.20735, -0.587159, 11.412
14.4463, 11.9231, 0.294688, -0.599346, 11.4327
15.649, 11.44, -0.891337, -0.657355, 11.4337
15.5608, 10.2052, -2.25701, -0.729367, 11.4412
14.3586, 10.1056, 2.52121, -0.793077, 11.4652
